,Accuracy,Precision,Recall,F1 Score,Specificity,ROC-AUC
KNN,0.875,0.883495145631068,0.8921568627450981,0.8878048780487805,0.8536585365853658,0.9295193687230989
Logistic Regression,0.8913043478260869,0.8867924528301887,0.9215686274509803,0.9038461538461539,0.8536585365853658,0.9331659493065518
Random Forest,0.875,0.8910891089108911,0.8823529411764706,0.8866995073891626,0.8658536585365854,0.9331659493065518
